 uniqueID,fam_id,fam_id 2,Income-to-needs,sub_id,Sex,Inequality Grp,Income Grp,Final Grp,Household Income,Valence Pre,Arousal Pre,Valence Post,Arousal Post,Age,CT Mean Income,Gini CT,Voice Rating,Formant Position,Formant Dispersion,Fundamental Frequency,N1,N2,N3,N4,N5,N6,Neuroticism,E1,E2,E3,E4,E5,E6,Extroversion,O1,O2,O3,O4,O5,O6,Openness,A1,A2,A3,A4,A5,A6,Agreeableness,C1,C2,C3,C4,C5,C6,Conscientiousness
FAM5303_510702,FAM5303,FAM5303,1.503714174,510702,0,high,low,LI-HII,50000,4,1,4,1,173,49461,0.441056601,,0.081331823,1202.704143,220.7898906,18,19,17,17,14,16,101,15,17,17,18,14,15,96,16,18,15,14,16,16,95,19,16,14,18,19,16,102,15,19,17,16,16,15,98
FAM5303_314978,FAM5303,FAM5303,1.503714174,314978,1,high,low,LI-HII,50000,4,1,4,1,227,49461,0.441056601,0.027777778,-0.43717276,1366.758225,209.5020785,23,13,16,15,17,12,96,24,22,9,20,20,21,116,22,17,22,11,20,22,114,21,20,27,22,18,21,129,21,17,24,20,19,18,119
FAM1476_325669,FAM1476,FAM1476,1.503714174,325669,1,high,low,LI-HII,50000,4,1,4,2,228,58087,0.442047038,,0.123165564,1241.611333,243.2987947,10,20,18,16,12,11,87,27,14,11,20,19,25,116,30,21,25,5,30,29,140,30,28,25,15,16,29,143,22,10,21,17,19,13,102
FAM1476_419902,FAM1476,FAM1476,1.503714174,419902,1,high,low,LI-HII,50000,4,1,3,1,194,58087,0.442047038,0.027777778,0.362127134,1392.70461,226.931331,22,19,8,10,19,12,90,27,30,22,25,26,24,154,17,14,24,17,11,18,101,22,18,22,15,15,25,117,22,20,19,22,24,13,120
FAM7411_512210,FAM7411,FAM7411,1.503714174,512210,1,high,low,LI-HII,50000,4,2,4,3,156,58087,0.442047038,,1.39957775,1389.119312,261.1928141,17,17,19,17,13,15,98,22,14,15,22,19,14,106,14,19,16,15,14,19,97,22,17,19,17,20,20,115,19,11,25,18,17,23,113
FAM7411_406921,FAM7411,FAM7411,1.503714174,406921,0,high,low,LI-HII,50000,3,3,2,3,171,58087,0.442047038,,,,,18,17,21,17,16,17,106,12,14,10,18,21,10,85,18,12,16,14,18,20,98,16,15,16,19,21,18,105,12,17,24,19,17,15,104
FAM2412_492301,FAM2412,FAM2412,1.503714174,492301,0,high,low,LI-HII,50000,3,1,3,1,189,71612,0.451502145,,-1.49856639,1321.502477,111.7391643,13,11,14,17,14,8,77,19,18,10,13,19,17,96,22,10,18,16,20,17,103,22,22,25,20,25,23,137,19,13,24,17,19,17,109
FAM2412_317918,FAM2412,FAM2412,1.503714174,317918,1,high,low,LI-HII,50000,4,3,3,4,227,71612,0.451502145,,-0.263234902,1336.282549,240.6057907,26,15,27,17,14,22,121,23,21,11,14,26,4,99,23,21,18,15,8,18,103,8,21,23,24,24,22,122,14,15,13,12,10,21,85
FAM2494_353460,FAM2494,FAM2494,1.503714174,353460,0,high,low,LI-HII,50000,4,2,3,4,174,71612,0.451502145,,,,,8,9,10,7,16,7,57,21,26,17,22,22,25,133,14,17,18,10,20,23,102,26,22,21,16,17,19,121,13,20,21,19,18,16,107
FAM2494_426487,FAM2494,FAM2494,1.503714174,426487,1,high,low,LI-HII,50000,5,1,5,1,146,71612,0.451502145,,0.366946232,1410.105749,287.8725416,12,1,1,12,8,4,38,25,19,14,17,14,22,111,24,10,20,12,18,10,94,24,24,32,23,13,24,140,28,20,26,18,32,18,142
